CellID,DNA1,ECAD,CD45,CD4,CD3D,CD8A,CD45R,KI67,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
3084,38900.33,1091.6,290.12,744.83,796.5,346.83,403.19,1948.86,2254.142857,1064.619048,42,8.255804986,6.593851093,0.601739135,0.976744186,0.65625,0.825870014
3085,29274,1070.99,263.42,719.11,794.27,332.56,388.49,1934.69,2264.282353,1064.847059,85,13.57783423,8.422218657,0.784371172,0.885416667,0.674603175,-1.416805456
3086,27304.86,441.24,417.34,608.03,413.41,318.31,318.99,1725.01,2359.905405,1066.054054,74,10.76633609,8.84728579,0.569841593,0.925,0.747474747,0.723644317
3087,24703.45,554.43,368.59,616.05,507.29,323.57,416.59,1683.8,2584.357143,1064.017857,56,12.55263998,6.008294008,0.878006974,0.875,0.615384615,-1.492009533
3088,20491.79,1979.77,331.09,818.79,1294.08,489.56,408.72,2014.42,2622.288591,1069.536913,149,19.68951052,9.979292147,0.862044308,0.919753086,0.62605042,0.569155488
3089,32915.56,1261.48,338.92,746.45,1065.34,458.36,408.66,2573.4,1243.493506,1068.155844,77,11.9194464,8.499342515,0.701097718,0.905882353,0.592307692,-0.368452635
3090,17551.26,840.64,272.66,613.99,713.45,335.52,373.38,1753.88,1353.40146,1069.467153,137,16.39651197,11.29837612,0.724692954,0.86163522,0.652380952,1.168798256
3091,19131.02,910.41,269.36,653.22,695.24,351.65,397.18,1967.22,1516.685,1071.16,200,21.79166132,12.23790411,0.827417993,0.873362445,0.625,-0.410460623
3092,16941.48,434.23,265.42,520.19,453.61,297.39,334.14,1570.64,1732.695238,1070.295238,105,18.24525388,7.483409239,0.912015162,0.897435897,0.729166667,0.060933853
3093,9004.17,428.16,369.87,567.51,417.94,353.37,328.27,2030.54,2145.35,1068.975,120,13.99220233,12.28474422,0.478714301,0.805369128,0.612244898,-0.065416606
3094,29339.74,1675.1,319.18,935.2,1271.94,369.24,386.26,1248.12,524.76,1070.376,125,14.80697849,11.43336223,0.635427681,0.892857143,0.651041667,-0.336815869
3095,22375.29,509.22,756.76,1175.84,820.99,289.01,294.56,777.34,653.637931,1067.758621,116,18.14019054,8.931171795,0.870402019,0.828571429,0.620320856,-1.311369985
3096,34704.84,479.39,496.96,633.57,551.64,349.43,356.75,1662.76,1973.940299,1068.731343,67,13.02631302,7.287202343,0.828883193,0.848101266,0.558333333,0.608209924
3097,37231.8,741.06,880.86,680.22,1563.07,1356.4,401.14,1947.11,2056.804598,1069.448276,87,15.78266482,7.680456002,0.87360331,0.805555556,0.478021978,-0.517434878
3098,21574.14,924.29,394.15,623.85,611.53,359.3,377.46,1715.04,2569.267857,1069.151786,112,16.7564408,9.819337854,0.810308309,0.842105263,0.497777778,-0.66472109
3099,25253.57,879.63,299.02,675.46,655.02,329.62,423.65,2037.42,2072.017391,1069.582609,115,14.62904171,10.89869075,0.66706029,0.858208955,0.804195804,-0.238573855
3100,28266.17,876.68,279.63,689.1,649.88,333.13,416.95,2041.67,2082.706422,1069.559633,109,13.146369,11.79696015,0.44130939,0.832061069,0.648809524,0.410526423
3101,18353.94,1349.94,287.28,763.06,914.18,348.56,399.05,1974.98,2280.346535,1069.19802,101,18.63950981,7.293025521,0.920277195,0.901785714,0.51010101,1.151186825
3102,37804.72,553.94,558.75,660.89,609.8,403.85,359.87,1818.93,2307.921348,1068.134831,89,15.36630002,7.741861028,0.863808218,0.89,0.659259259,1.254214199
3103,22485.4,1055.14,280.56,682.34,726.75,358.41,403.3,1782.42,2558.586207,1070.5,116,14.72809767,10.5862024,0.69524178,0.846715328,0.644444444,-0.273979021
3104,37521.86,784.52,1416.11,1565.09,2382.84,289.89,282.43,816.98,640.7272727,1068.818182,44,11.16572004,5.060403914,0.891404328,0.88,0.55,-0.934770298
3105,24562.88,927.97,286.02,662.98,644.32,308.65,367.17,1568.05,845.7384615,1070.030769,65,11.14685534,7.745442297,0.719150374,0.928571429,0.656565657,-0.771252664
3106,24077.32,477.81,472.29,617.88,483.12,349.22,352.22,644.29,887.1688312,1069.727273,77,12.38207203,8.131977332,0.754104748,0.927710843,0.641666667,0.942319097
3107,25468.5,479.39,1186.01,619.71,2103.07,2283.17,327.84,789.71,911.1015228,1073.593909,197,20.65002761,12.30786522,0.802968303,0.929245283,0.64379085,0.797282902
3108,21314.89,921.09,267.78,639.17,686.18,359.07,419.84,1823.9,1467.483696,1073.163043,184,17.26322956,14.42172333,0.549640585,0.901960784,0.676470588,-0.387871999
3109,24110.32,972.2,285.02,670.05,707.93,354.56,420.8,2177.3,1491.029557,1073.068966,203,21.42376062,14.21462473,0.748177957,0.799212598,0.568627451,1.088419762
3110,31805.42,1198.73,345.08,728.77,877.42,625.18,420.26,1730.82,1937.35,1070.72,100,16.9206597,7.812610026,0.887025634,0.900900901,0.555555556,-0.989379598
3111,26362.87,749.17,485.13,598.2,645.66,657.78,344.17,1886.25,2034.835821,1071.791045,134,15.10602334,11.75587401,0.627986452,0.864516129,0.683673469,0.809448752
3112,25022.58,858.77,556.58,678.13,461.23,402.52,387.61,2080.32,2136.677419,1067.806452,31,7.379070795,5.381674976,0.68417692,0.96875,0.645833333,-1.449415992
3113,25920.55,982,275.84,691.92,818.29,328.1,393.56,2021.34,2249,1069.693548,62,10.22271168,7.971320567,0.626071366,0.911764706,0.563636364,0.737515274
